,id,latitude,line,longitude,name,transfer
0,0,55.8148,1,37.7342,Bulvar Rokossovskogo,[]
1,1,55.8038,1,37.7448,Cherkizovskaya,[]
2,2,55.7963,1,37.7151,Preobrazhenskaya Ploshchad,[]
3,3,55.7888,1,37.6802,Sokolniki,[]
4,4,55.7801,1,37.6673,Krasnoselskaya,[]
5,5,55.7753,1,37.6562,Komsomolskaya,[81]
6,6,55.769,1,37.6487,Krasnye Vorota,[]
7,7,55.7657,1,37.6388,Chistye Prudy,"[97, 172]"
8,8,55.7597,1,37.6272,Lubyanka,[123]
9,9,55.7577,1,37.6166,Okhotny Ryad,"[29, 54]"
10,10,55.7512,1,37.61,Biblioteka Imeni Lenina,"[53, 75, 155]"
11,11,55.7453,1,37.6037,Kropotkinskaya,[]
12,12,55.7356,1,37.5943,Park Kultury,[87]
13,13,55.7267,1,37.5786,Frunzenskaya,[]
14,14,55.7233,1,37.5639,Sportivnaya,[]
15,15,55.7103,1,37.5592,Vorobyovy Gory,[]
16,16,55.6926,1,37.5333,Universitet,[]
17,17,55.6771,1,37.506,Prospekt Vernadskogo,[]
18,18,55.6637,1,37.4833,Yugo-Zapadnaya,[]
19,19,55.6459,1,37.4725,Troparyovo,[]
20,20,55.8549,2,37.4761,Rechnoy Vokzal,[]
21,21,55.8398,2,37.4867,Vodny Stadion,[]
22,22,55.819,2,37.498,Voykovskaya,[]
23,23,55.8051,2,37.5153,Sokol,[]
24,24,55.8003,2,37.5329,Aeroport,[]
25,25,55.7897,2,37.558,Dinamo,[]
26,26,55.7767,2,37.5835,Belorusskaya,[78]
27,27,55.7701,2,37.5958,Mayakovskaya,[]
28,28,55.7647,2,37.6065,Tverskaya,"[122, 154]"
29,29,55.7578,2,37.619,Teatralnaya,"[9, 54]"
30,30,55.7415,2,37.6295,Novokuznetskaya,"[99, 136]"
31,31,55.7305,2,37.6377,Paveletskaya,[84]
32,32,55.7074,2,37.6576,Avtozavodskaya,[]
33,33,55.6785,2,37.6638,Kolomenskaya,[]
34,34,55.6551,2,37.6487,Kashirskaya,[186]
35,35,55.6358,2,37.6564,Kantemirovskaya,[]
36,36,55.6214,2,37.6694,Tsaritsyno,[]
37,37,55.6132,2,37.6949,Orekhovo,[]
38,38,55.6108,2,37.7186,Domodedovskaya,[]
39,39,55.6137,2,37.7444,Krasnogvardeyskaya,[185]
40,40,55.6326,2,37.766,Alma-Atinskaya,[]
41,41,55.8563,3,37.3544,Pyatnitskoye Shosse,[]
42,42,55.8457,3,37.3622,Mitino,[]
43,43,55.8354,3,37.3822,Volokolamskaya,[]
44,44,55.8252,3,37.3852,Myakinino,[]
45,45,55.8038,3,37.4031,Strogino,[]
46,46,55.7567,3,37.4081,Krylatskoye,[]
47,47,55.7408,3,37.4168,Molodyozhnaya,[]
48,48,55.7307,3,37.4459,Kuntsevskaya,[63]
49,49,55.7296,3,37.4706,Slavyansky Bulvar,[]
50,50,55.7362,3,37.5182,Park Pobedy,[134]
51,51,55.7442,3,37.5645,Kiyevskaya,"[72, 76]"
52,52,55.7474,3,37.5823,Smolenskaya,[]
53,53,55.7522,3,37.6061,Arbatskaya,"[10, 75, 155]"
54,54,55.7566,3,37.6216,Ploshchad Revolyutsii,"[29, 9]"
55,55,55.7576,3,37.6577,Kurskaya,"[82, 173]"
56,56,55.773,3,37.6806,Baumanskaya,[]
57,57,55.7817,3,37.7037,Elektrozavodskaya,[]
58,58,55.7833,3,37.7208,Semyonovskaya,[]
59,59,55.7886,3,37.7506,Partizanskaya,[]
